Date,Year,Month,Day,Price,Return(1),Return(10)
1997/5/7,1997,5,7,10.87,0.006481481,0.012104283
1997/5/8,1997,5,8,10.84,-0.00275989,0.012138189
1997/5/9,1997,5,9,10.81,-0.002767528,0.009337068
1997/5/10,1997,5,10,10.78,-0.002775208,0.006535948
1997/5/12,1997,5,12,10.82,0.003710575,0.015009381
1997/5/13,1997,5,13,10.93,0.010166359,0.030160226
1997/5/14,1997,5,14,10.91,-0.001829826,0.021535581
1997/5/15,1997,5,15,10.85,-0.005499542,0.008364312
1997/5/16,1997,5,16,10.86,0.000921659,0.00742115
1997/5/17,1997,5,17,10.92,0.005524862,0.011111111
1997/5/19,1997,5,19,10.93,0.000915751,0.005519779
1997/5/20,1997,5,20,10.96,0.002744739,0.011070111
1997/5/21,1997,5,21,11.18,0.020072993,0.034227567
1997/5/22,1997,5,22,11.2,0.001788909,0.038961039
1997/5/23,1997,5,23,11.26,0.005357143,0.040665434
1997/5/24,1997,5,24,11.3,0.003552398,0.033851784
1997/5/26,1997,5,26,11.3,0,0.035747021
1997/5/27,1997,5,27,11.33,0.002654867,0.044239631
1997/5/28,1997,5,28,11.34,0.000882613,0.044198895
1997/5/29,1997,5,29,11.33,-0.000881834,0.037545788
1997/5/30,1997,5,30,11.32,-0.000882613,0.03568161
1997/5/31,1997,5,31,11.32,0,0.032846715
1997/6/2,1997,6,2,11.32,0,0.012522361
1997/6/3,1997,6,3,11.34,0.001766784,0.0125
1997/6/4,1997,6,4,11.57,0.020282187,0.027531083
1997/6/5,1997,6,5,11.4,-0.014693172,0.008849558
1997/6/6,1997,6,6,11.36,-0.003508772,0.005309735
1997/6/7,1997,6,7,11.39,0.002640845,0.005295675
1997/6/10,1997,6,10,11.42,0.002633889,0.007054674
1997/6/11,1997,6,11,11.39,-0.00262697,0.005295675
1997/6/12,1997,6,12,11.43,0.003511853,0.009717314
1997/6/13,1997,6,13,11.37,-0.005249344,0.004416961
1997/6/14,1997,6,14,11.37,0,0.004416961
1997/6/16,1997,6,16,11.37,0,0.002645503
1997/6/17,1997,6,17,11.4,0.002638522,-0.014693172
1997/6/18,1997,6,18,11.4,0,0
1997/6/19,1997,6,19,11.46,0.005263158,0.008802817
