,no,bloomberg_code,t_name,net_ass_val_rate,Date
9,10,KYG875721634,*TENCENT,1.77,202002
0,1,US5949181045,MICROSOFT,3.88,202003
1,2,US0378331005,APPLE,3.73,202003
2,3,US0231351067,AMAZON.COM,2.63,202003
3,4,US02079K1079,ALPHABEI,2.49,202003
4,5,CH0038863350,NESTLE,2.12,202003
5,6,KYG875721634,*TENCENT,1.96,202003
6,7,CH0012032048,ROCHE,1.86,202003
7,8,2330,台積電,1.83,202003
8,9,US91324P1021,UNITEDHEALTH,1.73,202003
9,10,GB0009895292,ASTRAZENECA,1.69,202003
