,Date,Price
0,1997/1/4,
1,1997/1/6,0.0
2,1997/1/7,-0.0008244023083265921
3,1997/1/8,0.0032976092333057826
4,1997/1/9,0.00577081615828512
5,1997/1/10,-0.004122011541632375
6,1997/1/11,-0.012366034624896978
7,1997/1/13,-0.013190436933223424
8,1997/1/14,-0.001648804616653038
9,1997/1/15,-0.0024732069249794836
10,1997/1/16,-0.00824402308326475
11,1997/1/17,-0.004122011541632375
12,1997/1/18,0.00577081615828512
13,1997/1/20,0.006595218466611712
14,1997/1/21,0.004946413849958674
15,1997/1/22,0.002473206924979337
16,1997/1/23,0.009892827699917495
17,1997/1/24,0.008244023083264603
18,1997/1/25,0.0032976092333057826
19,1997/1/27,0.004122011541632229
20,1997/1/28,0.0016488046166528913
21,1997/1/29,0.011541632316570386
22,1997/1/30,0.011541632316570386
23,1997/1/31,0.020610057708161583
24,1997/2/1,0.02473206924979381
25,1997/2/3,0.025556471558120256
26,1997/2/11,0.01071723000824394
27,1997/2/12,0.007419620774938158
28,1997/2/13,0.011541632316570386
29,1997/2/14,0.01978565539983499
30,1997/2/15,0.020610057708161583
31,1997/2/17,0.020610057708161583
32,1997/2/18,0.030502885408079078
33,1997/2/19,0.025556471558120256
34,1997/2/20,0.028854080791426186
35,1997/2/21,0.03297609233305841
36,1997/2/22,0.0354492992580379
37,1997/2/24,0.03462489694971145
38,1997/2/25,-0.061830173124484744
39,1997/2/26,-0.05688375927452607
40,1997/2/27,-0.061830173124484744
41,1997/2/28,-0.06924979389942305
42,1997/3/1,-0.07172300082440239
43,1997/3/3,-0.07172300082440239
44,1997/3/4,-0.040755040755040876
45,1997/3/5,-0.029898403483309174
46,1997/3/6,-0.021929824561403508
47,1997/3/7,-0.02258292166549049
48,1997/3/8,-0.019936485532815885
49,1997/3/10,-0.01905434015525768
50,1997/3/11,-0.012879322512350105
51,1997/3/12,-0.009350741002117137
52,1997/3/13,-0.012879322512350105
53,1997/3/14,-0.015525758645024713
54,1997/3/15,-0.01905434015525768
55,1997/3/17,-0.01817219477769932
56,1997/3/18,-0.027875793930839866
57,1997/3/19,-0.03228652081863088
58,1997/3/20,-0.04022582921665486
59,1997/3/21,-0.037579393083980256
60,1997/3/22,-0.04022582921665486
61,1997/3/24,-0.037579393083980256
62,1997/3/25,-0.04110797459421322
63,1997/3/26,-0.03405081157374744
64,1997/3/27,-0.037579393083980256
65,1997/3/28,-0.04022582921665486
66,1997/3/31,-0.04199011997177143
67,1997/4/1,-0.04110797459421322
68,1997/4/2,-0.05081157374735361
69,1997/4/3,-0.05169371912491181
70,1997/4/7,-0.048165137614679
71,1997/4/8,-0.05169371912491181
72,1997/4/9,-0.05257586450247001
73,1997/4/10,-0.05434015525758642
74,1997/4/11,-0.05875088214537759
75,1997/4/12,-0.0622794636556104
76,1997/4/14,-0.060515172900494
77,1997/4/15,-0.06757233592095978
78,1997/4/16,-0.06845448129851797
79,1997/4/17,-0.06404375441072696
80,1997/4/18,-0.06404375441072696
81,1997/4/19,-0.0622794636556104
82,1997/4/21,-0.0613973182780522
83,1997/4/22,-0.05257586450247001
84,1997/4/23,-0.05610444601270298
85,1997/4/24,-0.05257586450247001
86,1997/4/25,-0.05522230063514462
87,1997/4/26,-0.05522230063514462
88,1997/4/28,-0.05522230063514462
89,1997/4/29,-0.05963302752293579
90,1997/4/30,-0.06404375441072696
91,1997/5/2,-0.05786873676781939
92,1997/5/3,-0.05081157374735361
93,1997/5/5,-0.0490472829922372
94,1997/5/6,-0.03971547125074101
95,1997/5/7,-0.033491404860699646
96,1997/5/8,-0.036158861885003085
97,1997/5/9,-0.038826318909306524
98,1997/5/10,-0.04149377593361012
99,1997/5/12,-0.03793716656787204
100,1997/5/13,-0.028156490812092604
101,1997/5/14,-0.029934795494961565
102,1997/5/15,-0.0352697095435686
103,1997/5/16,-0.03438055720213412
104,1997/5/17,-0.029045643153527086
105,1997/5/19,-0.028156490812092604
106,1997/5/20,-0.02548903378778901
107,1997/5/21,-0.00592768227623013
108,1997/5/22,-0.00414937759336117
109,1997/5/23,0.0011855364552458682
110,1997/5/24,0.004742145820983946
111,1997/5/26,0.004742145820983946
112,1997/5/27,0.0074096028452873865
113,1997/5/28,0.008298755186721867
114,1997/5/29,0.0074096028452873865
115,1997/5/30,0.006520450503852906
116,1997/5/31,0.006520450503852906
117,1997/6/2,0.006520450503852906
118,1997/6/3,0.008298755186721867
119,1997/6/4,0.028749259039715383
120,1997/6/5,0.013633669235328905
121,1997/6/6,0.008625063419583873
122,1997/6/7,0.011288685946220199
123,1997/6/10,0.013952308472856369
124,1997/6/11,0.011288685946220199
125,1997/6/12,0.014840182648401758
126,1997/6/13,0.009512937595129263
127,1997/6/14,0.009512937595129263
128,1997/6/16,0.009512937595129263
129,1997/6/17,0.012176560121765588
130,1997/6/18,0.012176560121765588
131,1997/6/19,0.017503805175038082
132,1997/6/20,0.013952308472856369
133,1997/6/21,0.01040081177067481
134,1997/6/23,0.009512937595129263
135,1997/6/24,0.01040081177067481
136,1997/6/25,0.012176560121765588
137,1997/6/26,0.017503805175038082
138,1997/6/27,0.026382546930492135
139,1997/6/28,0.029046169457128304
140,1997/6/30,0.029046169457128304
141,1997/7/2,0.03614916286149158
142,1997/7/3,0.03614916286149158
143,1997/7/4,0.06100963977676296
144,1997/7/5,0.07343987823439872
145,1997/7/7,0.07432775240994412
146,1997/7/8,0.061897513952308504
147,1997/7/9,0.04946727549467273
148,1997/7/10,0.06012176560121757
149,1997/7/11,0.07787924911212583
150,1997/7/12,0.06367326230339929
