,Date,Price
0,2008/06/30,8.770
1,2008/07/01,8.690
2,2008/07/02,8.600
3,2008/07/03,8.640
4,2008/07/04,8.580
5,2008/07/07,8.580
6,2008/07/08,8.600
7,2008/07/09,8.620
8,2008/07/10,8.580
9,2008/07/11,8.490
10,2008/07/14,8.500
11,2008/07/15,8.430
12,2008/07/16,8.490
13,2008/07/17,8.540
14,2008/07/18,8.620
15,2008/07/21,8.660
16,2008/07/22,8.700
17,2008/07/23,8.720
18,2008/07/24,8.630
19,2008/07/25,8.610
20,2008/07/29,8.600
21,2008/07/30,8.680
22,2008/07/31,8.680
23,2008/08/01,8.630
24,2008/08/04,8.620
25,2008/08/05,8.750
26,2008/08/06,8.800
27,2008/08/07,8.750
28,2008/08/08,8.820
29,2008/08/11,8.900
30,2008/08/12,8.810
31,2008/08/13,8.680
32,2008/08/14,8.740
33,2008/08/15,8.740
34,2008/08/18,8.700
35,2008/08/19,8.580
36,2008/08/20,8.630
37,2008/08/21,8.610
38,2008/08/22,8.720
39,2008/08/25,8.650
40,2008/08/26,8.620
41,2008/08/27,8.700
42,2008/08/28,8.820
43,2008/08/29,8.790
44,2008/09/01,8.770
45,2008/09/02,8.810
46,2008/09/03,8.760
47,2008/09/04,8.590
48,2008/09/05,8.530
49,2008/09/08,8.750
50,2008/09/09,8.640
51,2008/09/10,8.600
52,2008/09/11,8.600
53,2008/09/12,8.700
54,2008/09/15,8.460
55,2008/09/16,8.420
56,2008/09/17,8.190
57,2008/09/18,8.430
58,2008/09/19,8.760
59,2008/09/22,8.650
60,2008/09/23,8.560
61,2008/09/24,8.530
62,2008/09/25,8.700
63,2008/09/26,8.660
64,2008/09/30,8.370
65,2008/10/01,8.410
66,2008/10/02,8.240
67,2008/10/03,8.250
68,2008/10/06,7.860
69,2008/10/07,7.670
70,2008/10/08,7.430
71,2008/10/09,7.150
72,2008/10/13,7.380
73,2008/10/14,7.540
74,2008/10/15,7.120
75,2008/10/16,7.060
76,2008/10/17,7.180
77,2008/10/20,7.490
78,2008/10/21,7.330
79,2008/10/22,7.010
80,2008/10/23,7.110
81,2008/10/24,6.790
82,2008/10/27,6.670
83,2008/10/28,6.990
84,2008/10/29,7.200
85,2008/10/30,7.320
86,2008/10/31,7.370
87,2008/11/03,7.430
88,2008/11/04,7.590
89,2008/11/05,7.390
90,2008/11/06,7.090
91,2008/11/07,7.190
92,2008/11/10,7.190
93,2008/11/11,6.960
94,2008/11/12,6.750
95,2008/11/13,6.890
96,2008/11/14,6.840
97,2008/11/17,6.730
98,2008/11/18,6.770
99,2008/11/19,6.510
100,2008/11/20,6.220
101,2008/11/21,6.270
102,2008/11/24,6.650
103,2008/11/25,6.690
104,2008/11/26,6.810
105,2008/11/27,6.870
106,2008/11/28,6.930
107,2008/12/01,6.520
108,2008/12/02,6.670
109,2008/12/03,6.760
110,2008/12/04,6.660
111,2008/12/05,6.690
112,2008/12/08,6.990
113,2008/12/09,6.950
114,2008/12/10,6.980
115,2008/12/11,6.920
116,2008/12/12,6.890
117,2008/12/15,6.850
118,2008/12/16,7.000
119,2008/12/17,6.980
120,2008/12/18,6.980
121,2008/12/19,6.850
122,2008/12/22,6.840
123,2008/12/23,6.830
124,2008/12/24,6.820
125,2008/12/25,6.830
126,2008/12/26,6.840
127,2008/12/29,6.860
128,2008/12/30,6.910
129,2008/12/31,6.940
130,2009/01/05,7.080
131,2009/01/06,7.070
132,2009/01/07,7.010
133,2009/01/08,7.010
134,2009/01/09,7.000
135,2009/01/10,7.000
136,2009/01/12,6.860
137,2009/01/13,6.770
138,2009/01/14,6.600
139,2009/01/15,6.560
140,2009/01/16,6.650
141,2009/01/17,6.680
142,2009/01/19,6.660
143,2009/01/20,6.460
144,2009/01/21,6.470
145,2009/01/22,6.430
146,2009/01/23,6.390
147,2009/02/02,6.390
148,2009/02/03,6.480
149,2009/02/04,6.500
150,2009/02/05,6.540
151,2009/02/06,6.650
152,2009/02/09,6.730
153,2009/02/10,6.550
154,2009/02/11,6.540
155,2009/02/12,6.480
156,2009/02/13,6.480
157,2009/02/16,6.440
158,2009/02/17,6.290
159,2009/02/18,6.240
160,2009/02/19,6.250
161,2009/02/20,6.140
162,2009/02/23,6.050
163,2009/02/24,6.130
164,2009/02/25,6.090
165,2009/02/26,6.070
166,2009/02/27,5.980
167,2009/03/02,5.770
168,2009/03/03,5.680
169,2009/03/04,5.780
170,2009/03/05,5.600
171,2009/03/06,5.570
172,2009/03/09,5.510
173,2009/03/10,5.700
174,2009/03/11,5.700
175,2009/03/12,5.830
176,2009/03/13,5.910
177,2009/03/16,5.980
178,2009/03/17,6.030
179,2009/03/18,6.060
180,2009/03/19,6.090
181,2009/03/20,6.050
182,2009/03/23,6.290
183,2009/03/24,6.250
184,2009/03/25,6.300
185,2009/03/26,6.370
186,2009/03/27,6.230
187,2009/03/30,6.050
188,2009/03/31,6.150
189,2009/04/01,6.210
190,2009/04/02,6.380
191,2009/04/03,6.370
192,2009/04/06,6.320
193,2009/04/07,6.250
194,2009/04/08,6.350
195,2009/04/09,6.480
196,2009/04/10,6.460
197,2009/04/13,6.460
198,2009/04/14,6.420
199,2009/04/15,6.480
200,2009/04/16,6.550
201,2009/04/17,6.590
202,2009/04/20,6.390
203,2009/04/21,6.420
204,2009/04/22,6.430
205,2009/04/23,6.470
206,2009/04/24,6.570
207,2009/04/27,6.510
208,2009/04/28,6.470
209,2009/04/29,6.600
210,2009/04/30,6.580
211,2009/05/04,6.750
212,2009/05/05,6.770
213,2009/05/06,6.810
214,2009/05/07,6.780
215,2009/05/08,6.880
216,2009/05/11,6.800
217,2009/05/12,6.820
218,2009/05/13,6.710
219,2009/05/14,6.710
220,2009/05/15,6.710
221,2009/05/18,6.810
222,2009/05/19,6.870
223,2009/05/20,6.870
224,2009/05/21,6.770
225,2009/05/22,6.810
226,2009/05/25,6.800
227,2009/05/26,6.880
228,2009/05/27,6.860
229,2009/06/01,7.130
230,2009/06/02,7.180
231,2009/06/03,7.090
232,2009/06/04,7.100
233,2009/06/05,7.110
234,2009/06/06,7.130
235,2009/06/08,7.060
236,2009/06/09,7.090
237,2009/06/10,7.130
238,2009/06/11,7.190
239,2009/06/12,7.190
240,2009/06/15,7.040
241,2009/06/16,6.980
242,2009/06/17,6.940
243,2009/06/18,7.010
244,2009/06/19,7.030
245,2009/06/22,6.890
246,2009/06/23,6.880
247,2009/06/24,6.950
248,2009/06/25,6.990
249,2009/06/26,7.020
250,2009/06/29,7.070
251,2009/06/30,7.020
252,2009/07/01,7.070
253,2009/07/02,6.930
254,2009/07/03,6.900
255,2009/07/06,6.900
256,2009/07/07,6.830
257,2009/07/08,6.800
258,2009/07/09,6.800
259,2009/07/10,6.780
260,2009/07/13,6.910
261,2009/07/14,6.950
262,2009/07/15,7.110
263,2009/07/16,7.160
264,2009/07/17,7.150
265,2009/07/20,7.230
266,2009/07/21,7.250
267,2009/07/22,7.280
268,2009/07/23,7.400
269,2009/07/24,7.470
270,2009/07/27,7.490
271,2009/07/28,7.460
272,2009/07/29,7.440
273,2009/07/30,7.520
274,2009/07/31,7.500
275,2009/08/03,7.600
276,2009/08/04,7.610
277,2009/08/05,7.580
278,2009/08/06,7.600
279,2009/08/10,7.630
280,2009/08/11,7.570
281,2009/08/12,7.630
282,2009/08/13,7.670
283,2009/08/14,7.630
284,2009/08/17,7.460
285,2009/08/18,7.530
286,2009/08/19,7.560
287,2009/08/20,7.630
288,2009/08/21,7.740
289,2009/08/24,7.770
290,2009/08/25,7.800
291,2009/08/26,7.800
292,2009/08/27,7.780
293,2009/08/28,7.820
294,2009/08/31,7.760
295,2009/09/01,7.630
296,2009/09/02,7.620
297,2009/09/03,7.660
298,2009/09/04,7.730
299,2009/09/07,7.770
300,2009/09/08,7.820
301,2009/09/09,7.850
302,2009/09/10,7.870
303,2009/09/11,7.890
304,2009/09/14,7.920
305,2009/09/15,7.950
306,2009/09/16,8.020
307,2009/09/17,8.030
308,2009/09/18,8.050
309,2009/09/21,8.000
310,2009/09/22,8.050
311,2009/09/23,8.030
312,2009/09/24,7.950
313,2009/09/25,7.920
314,2009/09/28,8.010
315,2009/09/29,7.960
316,2009/09/30,7.930
317,2009/10/01,7.790
318,2009/10/02,7.720
319,2009/10/05,7.790
320,2009/10/06,7.870
321,2009/10/07,7.870
322,2009/10/08,7.940
323,2009/10/09,7.980
324,2009/10/12,8.040
325,2009/10/13,8.010
326,2009/10/14,8.140
327,2009/10/15,8.160
328,2009/10/16,8.140
329,2009/10/19,8.230
330,2009/10/20,8.180
331,2009/10/21,8.180
332,2009/10/22,8.220
333,2009/10/23,8.180
334,2009/10/26,8.120
335,2009/10/27,8.120
336,2009/10/28,7.970
337,2009/10/29,8.100
338,2009/10/30,7.960
339,2009/11/02,7.970
340,2009/11/03,7.920
341,2009/11/04,8.000
342,2009/11/05,8.090
343,2009/11/06,8.100
344,2009/11/09,8.230
345,2009/11/10,8.230
346,2009/11/11,8.260
347,2009/11/12,8.220
348,2009/11/13,8.250
349,2009/11/16,8.330
350,2009/11/17,8.310
351,2009/11/18,8.320
352,2009/11/19,8.240
353,2009/11/20,8.230
354,2009/11/23,8.330
355,2009/11/24,8.310
356,2009/11/25,8.380
357,2009/11/26,8.310
358,2009/11/27,8.230
359,2009/11/30,8.210
360,2009/12/01,8.340
361,2009/12/02,8.370
362,2009/12/03,8.340
363,2009/12/04,8.360
364,2009/12/07,8.330
365,2009/12/08,8.280
366,2009/12/09,8.260
367,2009/12/10,8.280
368,2009/12/11,8.310
369,2009/12/14,8.350
370,2009/12/15,8.310
371,2009/12/16,8.350
372,2009/12/17,8.220
373,2009/12/18,8.220
374,2009/12/21,8.270
375,2009/12/22,8.300
376,2009/12/23,8.310
377,2009/12/24,8.360
378,2009/12/25,8.350
379,2009/12/28,8.380
380,2009/12/29,8.400
381,2009/12/30,8.360
382,2009/12/31,8.290
383,2010/01/04,8.340
384,2010/01/05,8.340
385,2010/01/06,8.350
386,2010/01/07,8.340
387,2010/01/08,8.360
388,2010/01/11,8.410
389,2010/01/12,8.360
390,2010/01/13,8.390
391,2010/01/14,8.390
392,2010/01/15,8.340
393,2010/01/18,8.350
394,2010/01/19,8.400
395,2010/01/20,8.340
396,2010/01/21,8.180
397,2010/01/22,8.110
398,2010/01/25,8.110
399,2010/01/26,8.100
400,2010/01/27,8.070
401,2010/01/28,8.000
402,2010/01/29,7.930
403,2010/02/01,8.010
